episode,global_steps,score,avg_score,epsilon
57,3331,2,1.7894736842105263,0.24405720912506448
58,3370,3,1.8103448275862069,0.23934302759050552
59,3421,3,1.8305084745762712,0.23331545165791032
60,3476,7,1.9166666666666667,0.22698513491796604
61,3506,0,1.8852459016393444,0.2236049277204375
62,3567,7,1.967741935483871,0.21688627798843532
63,3645,10,2.0952380952380953,0.20858849723355855
64,3685,2,2.09375,0.20445714562620906
65,3715,0,2.0615384615384613,0.20141241974368984
66,3750,2,2.0606060606060606,0.19791749837216066
67,3792,1,2.044776119402985,0.1938035500155716
68,3824,2,2.0441176470588234,0.19072660513168033
69,3852,1,2.028985507246377,0.18807437846496305
70,3920,7,2.1,0.18178578927561068
71,3952,2,2.0985915492957745,0.17889964578530423
72,3987,2,2.0972222222222223,0.17579536752773836
73,4050,6,2.1506849315068495,0.17034277941884945
74,4098,0,2.1216216216216215,0.16630222315800317
75,4147,5,2.16,0.16227633074256287
76,4225,3,2.1710526315789473,0.15606785399292053
77,4376,4,2.1948051948051948,0.14471582514773482
78,4405,0,2.1666666666666665,0.14263206845467785
79,4432,1,2.151898734177215,0.14071899950078715
80,4492,4,2.175,0.13655910001233484
81,4527,2,2.1728395061728394,0.13418951765134016
82,4572,1,2.158536585365854,0.13120322863563882
83,4618,4,2.180722891566265,0.12821925558685152
84,4655,1,2.1666666666666665,0.1258684238591214
85,4700,3,2.176470588235294,0.12306731466540052
86,4728,0,2.1511627906976742,0.12135595188236609
87,4788,5,2.1839080459770117,0.11776845791248987
88,4816,0,2.159090909090909,0.1161307805451502
89,4848,0,2.134831460674157,0.1142870165324064
90,4877,0,2.111111111111111,0.11264140289349857
91,4908,2,2.10989010989011,0.11090849264226718
92,4939,0,2.0869565217391304,0.10920224201939342
93,5042,3,2.096774193548387,0.10371935221351795
94,5074,1,2.0851063829787235,0.10207263970423593
95,5112,4,2.1052631578947367,0.10015109164999415
96,5142,2,2.1041666666666665,0.1
97,5201,7,2.154639175257732,0.1
98,5326,5,2.183673469387755,0.1
99,5352,1,2.1717171717171717,0.1
100,5386,1,2.16,0.1
101,5424,2,2.19,0.1
102,5477,7,2.18,0.1
103,5510,1,2.17,0.1
104,5544,2,2.19,0.1
105,5569,0,2.2,0.1
106,5598,0,2.19,0.1
107,5633,1,2.21,0.1
108,5658,0,2.19,0.1
109,5690,0,2.18,0.1
110,5724,0,2.18,0.1
111,5749,0,2.19,0.1
112,5778,0,2.18,0.1
113,5833,7,2.24,0.1
