episode,global_steps,score,avg_score,epsilon,avg_max_q
1,52,52,0,0.0,1.0,nan
2,35,87,0,0.0,1.0,nan
3,101,188,0,0.0,1.0,nan
4,90,278,0,0.0,1.0,nan
5,98,376,-1,-0.2,1.0,nan
6,84,460,-1,-0.3333333333333333,1.0,nan
7,36,496,1,-0.14285714285714285,1.0,nan
8,38,534,-1,-0.25,1.0,nan
9,54,588,0,-0.2222222222222222,1.0,nan
10,35,623,-1,-0.3,1.0,nan
11,35,658,-1,-0.36363636363636365,1.0,nan
12,60,718,-1,-0.4166666666666667,1.0,nan
13,59,777,-1,-0.46153846153846156,1.0,nan
14,71,848,-1,-0.5,1.0,nan
15,24,872,-1,-0.5333333333333333,1.0,nan
16,145,1017,1,-0.4375,1.0,nan
17,61,1078,-1,-0.47058823529411764,1.0,nan
18,31,1109,-1,-0.5,1.0,nan
19,46,1155,-1,-0.5263157894736842,1.0,nan
20,65,1220,0,-0.5,1.0,nan
21,64,1284,-1,-0.5238095238095238,1.0,nan
22,54,1338,-1,-0.5454545454545454,1.0,nan
23,101,1439,0,-0.5217391304347826,1.0,nan
24,96,1535,-1,-0.5416666666666666,1.0,nan
25,101,1636,0,-0.52,1.0,nan
26,98,1734,-1,-0.5384615384615384,1.0,nan
27,50,1784,-1,-0.5555555555555556,1.0,nan
28,101,1885,0,-0.5357142857142857,1.0,nan
29,62,1947,-1,-0.5517241379310345,1.0,nan
30,92,2039,0,-0.5333333333333333,1.0,nan
31,94,2133,0,-0.5161290322580645,1.0,nan
32,77,2210,0,-0.5,1.0,nan
33,38,2248,-1,-0.5151515151515151,1.0,nan
34,57,2305,1,-0.47058823529411764,1.0,nan
35,66,2371,-1,-0.4857142857142857,1.0,nan
36,101,2472,0,-0.4722222222222222,1.0,nan
37,110,2582,0,-0.4594594594594595,1.0,nan
38,112,2694,1,-0.42105263157894735,1.0,nan
39,71,2765,-1,-0.4358974358974359,1.0,nan
40,67,2832,0,-0.425,1.0,nan
41,26,2858,-1,-0.43902439024390244,1.0,nan
42,56,2914,-1,-0.4523809523809524,1.0,nan
43,33,2947,-1,-0.46511627906976744,1.0,nan
44,69,3016,-1,-0.4772727272727273,1.0,nan
45,101,3117,0,-0.4666666666666667,1.0,nan
46,101,3218,0,-0.45652173913043476,1.0,nan
47,101,3319,0,-0.44680851063829785,1.0,nan
48,101,3420,0,-0.4375,1.0,nan
49,101,3521,0,-0.42857142857142855,1.0,nan
50,28,3549,-1,-0.44,1.0,nan
51,42,3591,-1,-0.45098039215686275,1.0,nan
52,104,3695,0,-0.4423076923076923,1.0,nan
53,101,3796,0,-0.4339622641509434,1.0,nan
54,38,3834,-1,-0.4444444444444444,1.0,nan
55,47,3881,-1,-0.45454545454545453,1.0,nan
56,101,3982,0,-0.44642857142857145,1.0,nan
57,75,4057,-1,-0.45614035087719296,1.0,nan
58,39,4096,-1,-0.46551724137931033,1.0,nan
59,101,4197,0,-0.4576271186440678,1.0,nan
60,58,4255,1,-0.43333333333333335,1.0,nan
61,97,4352,-1,-0.4426229508196721,1.0,nan
62,133,4485,2,-0.4032258064516129,1.0,nan
63,54,4539,-1,-0.4126984126984127,1.0,nan
64,56,4595,-1,-0.421875,1.0,nan
65,52,4647,1,-0.4,1.0,nan
66,40,4687,0,-0.3939393939393939,1.0,nan
67,46,4733,-1,-0.40298507462686567,1.0,nan
68,101,4834,0,-0.39705882352941174,1.0,nan
69,101,4935,0,-0.391304347826087,1.0,nan
70,82,5017,-1,-0.4,1.0,nan
71,26,5043,-1,-0.4084507042253521,1.0,nan
72,41,5084,1,-0.3888888888888889,1.0,nan
73,72,5156,-1,-0.3972602739726027,1.0,nan
74,39,5195,-1,-0.40540540540540543,1.0,nan
75,49,5244,0,-0.4,1.0,nan
76,43,5287,-1,-0.40789473684210525,1.0,nan
77,101,5388,0,-0.4025974025974026,1.0,nan
78,70,5458,0,-0.3974358974358974,1.0,nan
79,35,5493,-1,-0.4050632911392405,1.0,nan
80,101,5594,0,-0.4,1.0,nan
81,68,5662,-1,-0.4074074074074074,1.0,nan
82,80,5742,-1,-0.4146341463414634,1.0,nan
83,33,5775,-1,-0.42168674698795183,1.0,nan
84,101,5876,0,-0.4166666666666667,1.0,nan
85,46,5922,-1,-0.4235294117647059,1.0,nan
86,101,6023,0,-0.4186046511627907,1.0,nan
87,101,6124,0,-0.41379310344827586,1.0,nan
88,48,6172,1,-0.3977272727272727,1.0,nan
89,101,6273,0,-0.39325842696629215,1.0,nan
90,83,6356,2,-0.36666666666666664,1.0,nan
91,38,6394,-1,-0.37362637362637363,1.0,nan
92,101,6495,0,-0.3695652173913043,1.0,nan
93,101,6596,0,-0.3655913978494624,1.0,nan
94,30,6626,-1,-0.3723404255319149,1.0,nan
95,81,6707,-1,-0.37894736842105264,1.0,nan
96,101,6808,0,-0.375,1.0,nan
97,91,6899,-1,-0.38144329896907214,1.0,nan
98,49,6948,-1,-0.3877551020408163,1.0,nan
99,101,7049,0,-0.3838383838383838,1.0,nan
100,85,7134,-1,-0.39,1.0,nan
101,101,7235,0,-0.39,1.0,nan
102,97,7332,1,-0.38,1.0,nan
103,34,7366,0,-0.38,1.0,nan
104,53,7419,-1,-0.39,1.0,nan
105,50,7469,-1,-0.39,1.0,nan
106,74,7543,-1,-0.39,1.0,nan
107,100,7643,-1,-0.41,1.0,nan
108,32,7675,-1,-0.41,1.0,nan
109,37,7712,0,-0.41,1.0,nan
110,75,7787,-1,-0.41,1.0,nan
111,27,7814,-1,-0.41,1.0,nan
112,55,7869,-1,-0.41,1.0,nan
113,32,7901,-1,-0.41,1.0,nan
114,30,7931,0,-0.4,1.0,nan
115,39,7970,-1,-0.4,1.0,nan
116,101,8071,0,-0.41,1.0,nan
117,28,8099,-1,-0.41,1.0,nan
118,74,8173,-1,-0.41,1.0,nan
119,93,8266,0,-0.4,1.0,nan
120,101,8367,0,-0.4,1.0,nan
121,34,8401,-1,-0.4,1.0,nan
122,29,8430,-1,-0.4,1.0,nan
123,101,8531,0,-0.4,1.0,nan
124,101,8632,0,-0.39,1.0,nan
125,60,8692,-1,-0.4,1.0,nan
126,40,8732,-1,-0.4,1.0,nan
127,57,8789,-1,-0.4,1.0,nan
128,99,8888,-1,-0.41,1.0,nan
129,62,8950,-1,-0.41,1.0,nan
130,56,9006,-1,-0.42,1.0,nan
131,68,9074,1,-0.41,1.0,nan
132,45,9119,0,-0.41,1.0,nan
133,158,9277,2,-0.38,1.0,nan
134,82,9359,-1,-0.4,1.0,nan
135,50,9409,-1,-0.4,1.0,nan
136,160,9569,2,-0.38,1.0,nan
137,72,9641,-1,-0.39,1.0,nan
138,75,9716,-1,-0.41,1.0,nan
139,36,9752,-1,-0.41,1.0,nan
140,24,9776,0,-0.41,1.0,nan
141,47,9823,-1,-0.41,1.0,nan
142,42,9865,-1,-0.41,1.0,nan
143,95,9960,2,-0.38,1.0,nan
144,101,10061,0,-0.37,1.0,nan
145,57,10118,0,-0.37,1.0,nan
146,55,10173,0,-0.37,1.0,nan
147,97,10270,-1,-0.38,1.0,nan
148,83,10353,-1,-0.39,1.0,nan
149,55,10408,-1,-0.4,1.0,nan
150,101,10509,0,-0.39,1.0,nan
151,64,10573,-1,-0.39,1.0,nan
152,64,10637,-1,-0.4,1.0,nan
153,101,10738,0,-0.4,1.0,nan
154,70,10808,-1,-0.4,1.0,nan
155,87,10895,-1,-0.4,1.0,nan
156,101,10996,0,-0.4,1.0,nan
157,57,11053,-1,-0.4,1.0,nan
158,101,11154,0,-0.39,1.0,nan
159,36,11190,0,-0.39,1.0,nan
160,55,11245,-1,-0.41,1.0,nan
161,73,11318,0,-0.4,1.0,nan
162,26,11344,-1,-0.43,1.0,nan
163,27,11371,-1,-0.43,1.0,nan
164,79,11450,-1,-0.43,1.0,nan
165,100,11550,0,-0.44,1.0,nan
166,86,11636,-1,-0.45,1.0,nan
167,65,11701,-1,-0.45,1.0,nan
168,104,11805,4,-0.41,1.0,nan
169,54,11859,-1,-0.42,1.0,nan
170,31,11890,-1,-0.42,1.0,nan
171,39,11929,-1,-0.42,1.0,nan
172,45,11974,0,-0.43,1.0,nan
173,43,12017,-1,-0.43,1.0,nan
174,155,12172,2,-0.4,1.0,nan
175,44,12216,-1,-0.41,1.0,nan
176,48,12264,-1,-0.41,1.0,nan
177,74,12338,-1,-0.42,1.0,nan
178,101,12439,0,-0.42,1.0,nan
179,135,12574,5,-0.36,0.9997336000000006,0.9175568
180,46,12620,1,-0.35,0.9995680000000009,1.2319202
181,68,12688,-1,-0.35,0.9993232000000014,1.1657178
182,54,12742,-1,-0.35,0.9991288000000018,1.1652167
183,24,12766,-1,-0.35,0.999042400000002,1.1660011
184,40,12806,-1,-0.36,0.9988984000000023,1.1574552
185,48,12854,-1,-0.36,0.9987256000000027,1.1603122
186,81,12935,-1,-0.37,0.9984340000000033,1.1590924
187,163,13098,1,-0.36,0.9978472000000045,1.1610601
188,55,13153,0,-0.37,0.9976492000000049,1.1546454
189,88,13241,-1,-0.38,0.9973324000000056,1.1724685
190,67,13308,-1,-0.41,0.9970912000000061,1.1723915
191,59,13367,0,-0.4,0.9968788000000065,1.1785787
192,38,13405,-1,-0.41,0.9967420000000068,1.173988
193,59,13464,-1,-0.42,0.9965296000000072,1.1570363
194,37,13501,-1,-0.42,0.9963964000000075,1.1645408
195,34,13535,-1,-0.42,0.9962740000000078,1.1474797
196,151,13686,1,-0.41,0.9957304000000089,1.1773872
197,55,13741,-1,-0.41,0.9955324000000093,1.1490192
198,66,13807,-1,-0.41,0.9952948000000098,1.1613164
199,124,13931,0,-0.41,0.9948484000000107,1.1773278
200,115,14046,2,-0.38,0.9944344000000116,1.1605692
201,43,14089,-1,-0.39,0.9942796000000119,1.1579115
202,55,14144,-1,-0.41,0.9940816000000123,1.1454387
203,38,14182,-1,-0.42,0.9939448000000126,1.1750712
204,116,14298,0,-0.41,0.9935272000000135,1.1700766
205,37,14335,0,-0.4,0.9933940000000138,1.1704237
206,101,14436,0,-0.39,0.9930304000000145,1.174428
207,100,14536,-1,-0.39,0.9926704000000153,1.1658868
208,101,14637,0,-0.38,0.992306800000016,1.1529673
209,95,14732,4,-0.34,0.9919648000000167,1.1908655
210,82,14814,-1,-0.34,0.9916696000000174,1.1717088
211,101,14915,0,-0.33,0.9913060000000181,1.160406
212,101,15016,0,-0.32,0.9909424000000189,1.1722549
213,101,15117,0,-0.31,0.9905788000000196,1.167311
214,50,15167,-1,-0.32,0.99039880000002,1.169037
215,34,15201,0,-0.31,0.9902764000000203,1.1682274
216,49,15250,0,-0.31,0.9901000000000206,1.1948268
217,101,15351,0,-0.3,0.9897364000000214,1.1842365
218,33,15384,0,-0.29,0.9896176000000216,1.2016516
219,47,15431,-1,-0.3,0.989448400000022,1.1923726
220,26,15457,-1,-0.31,0.9893548000000222,1.1628635
221,58,15515,-1,-0.31,0.9891460000000226,1.1687464
222,65,15580,1,-0.29,0.9889120000000231,1.1776905
223,101,15681,0,-0.29,0.9885484000000239,1.1873672
224,92,15773,-1,-0.3,0.9882172000000246,1.1707476
225,47,15820,-1,-0.3,0.9880480000000249,1.2163563
226,89,15909,-1,-0.3,0.9877276000000256,1.1925172
227,84,15993,2,-0.27,0.9874252000000262,1.1691515
228,101,16094,0,-0.26,0.987061600000027,1.1985505
229,101,16195,0,-0.25,0.9866980000000277,1.1860315
230,49,16244,-1,-0.25,0.9865216000000281,1.1871859
231,145,16389,1,-0.25,0.9859996000000292,1.2042074
232,101,16490,0,-0.25,0.9856360000000299,1.1837221
233,72,16562,1,-0.26,0.9853768000000305,1.2002056
234,48,16610,-1,-0.26,0.9852040000000308,1.194168
235,40,16650,-1,-0.26,0.9850600000000311,1.217447
236,94,16744,-1,-0.29,0.9847216000000318,1.1765176
237,42,16786,-1,-0.29,0.9845704000000322,1.1926126
238,31,16817,0,-0.28,0.9844588000000324,1.1884205
239,91,16908,-1,-0.28,0.9841312000000331,1.2060978
240,32,16940,-1,-0.29,0.9840160000000333,1.1897885
241,43,16983,-1,-0.29,0.9838612000000336,1.1921263
242,71,17054,0,-0.28,0.9836056000000342,1.1846967
243,61,17115,-1,-0.31,0.9833860000000346,1.1824818
244,51,17166,-1,-0.32,0.983202400000035,1.1942701
245,45,17211,-1,-0.33,0.9830404000000353,1.178414
246,77,17288,-1,-0.34,0.9827632000000359,1.1955166
247,50,17338,0,-0.33,0.9825832000000363,1.2138752
248,41,17379,0,-0.32,0.9824356000000366,1.1953254
249,101,17480,0,-0.31,0.9820720000000374,1.1878543
250,49,17529,0,-0.31,0.9818956000000377,1.1893024
251,97,17626,0,-0.3,0.9815464000000385,1.1900384
252,83,17709,-1,-0.3,0.9812476000000391,1.2111278
253,47,17756,-1,-0.31,0.9810784000000394,1.1632106
254,50,17806,-1,-0.31,0.9808984000000398,1.1961267
255,49,17855,0,-0.3,0.9807220000000402,1.1965848
256,42,17897,-1,-0.31,0.9805708000000405,1.1906052
257,80,17977,-1,-0.31,0.9802828000000411,1.1849374
258,29,18006,0,-0.31,0.9801784000000413,1.1842836
259,51,18057,-1,-0.32,0.9799948000000417,1.1767504
260,33,18090,-1,-0.32,0.9798760000000419,1.1881566
261,53,18143,-1,-0.33,0.9796852000000423,1.1720264
262,101,18244,0,-0.32,0.9793216000000431,1.1854491
263,64,18308,0,-0.31,0.9790912000000436,1.212246
264,29,18337,-1,-0.31,0.9789868000000438,1.1849356
265,102,18439,1,-0.3,0.9786196000000446,1.2019387
266,65,18504,0,-0.29,0.978385600000045,1.1821445
267,49,18553,0,-0.28,0.9782092000000454,1.1880867
268,101,18654,0,-0.32,0.9778456000000462,1.1887338
269,90,18744,-1,-0.32,0.9775216000000468,1.206504
270,101,18845,0,-0.31,0.9771580000000476,1.197051
271,32,18877,-1,-0.31,0.9770428000000478,1.2125711
272,101,18978,0,-0.31,0.9766792000000486,1.2125503
273,37,19015,-1,-0.31,0.9765460000000489,1.1760852
274,101,19116,0,-0.33,0.9761824000000496,1.2114832
275,42,19158,-1,-0.33,0.97603120000005,1.2135231
276,45,19203,-1,-0.33,0.9758692000000503,1.1926448
277,80,19283,-1,-0.33,0.9755812000000509,1.1968889
278,41,19324,-1,-0.34,0.9754336000000512,1.1868076
279,54,19378,0,-0.39,0.9752392000000516,1.2113779
280,37,19415,0,-0.4,0.9751060000000519,1.2064413
281,69,19484,-1,-0.4,0.9748576000000524,1.2070553
282,43,19527,-1,-0.4,0.9747028000000527,1.1864952
283,101,19628,0,-0.39,0.9743392000000535,1.1892874
284,56,19684,-1,-0.39,0.9741376000000539,1.2101321
285,39,19723,-1,-0.39,0.9739972000000542,1.2040887
286,101,19824,0,-0.38,0.9736336000000549,1.2223597
287,31,19855,0,-0.39,0.9735220000000552,1.2145098
288,32,19887,-1,-0.4,0.9734068000000554,1.2059419
289,47,19934,-1,-0.4,0.9732376000000558,1.2083628
290,91,20025,2,-0.37,0.9729100000000565,1.1951649
291,63,20088,5,-0.32,0.9726832000000569,1.2055594
292,53,20141,-1,-0.32,0.9724924000000573,1.2242715
293,25,20166,-1,-0.32,0.9724024000000575,1.1981616
294,45,20211,-1,-0.32,0.9722404000000578,1.1753106
295,41,20252,-1,-0.32,0.9720928000000582,1.201344
296,101,20353,0,-0.33,0.9717292000000589,1.185612
297,101,20454,0,-0.32,0.9713656000000597,1.2054234
298,63,20517,-1,-0.32,0.9711388000000601,1.1869884
299,31,20548,-1,-0.33,0.9710272000000604,1.2003595
300,44,20592,-1,-0.36,0.9708688000000607,1.2170435
301,39,20631,-1,-0.36,0.970728400000061,1.2019683
302,36,20667,-1,-0.36,0.9705988000000613,1.2012998
303,70,20737,-1,-0.36,0.9703468000000618,1.1873844
304,36,20773,-1,-0.37,0.9702172000000621,1.2016811
305,50,20823,-1,-0.38,0.9700372000000624,1.2024174
306,82,20905,0,-0.38,0.969742000000063,1.2199912
307,101,21006,0,-0.37,0.9693784000000638,1.1763878
308,51,21057,0,-0.37,0.9691948000000642,1.1920668
309,44,21101,-1,-0.42,0.9690364000000645,1.1949478
310,56,21157,-1,-0.42,0.9688348000000649,1.2121712
311,90,21247,0,-0.42,0.9685108000000656,1.2071495
312,76,21323,-1,-0.43,0.9682372000000662,1.1836896
313,66,21389,-1,-0.44,0.9679996000000667,1.1936005
314,43,21432,-1,-0.44,0.967844800000067,1.2052554
315,60,21492,-1,-0.45,0.9676288000000675,1.1859554
316,31,21523,-1,-0.46,0.9675172000000677,1.2262589
317,101,21624,1,-0.45,0.9671536000000684,1.2034829
318,38,21662,-1,-0.46,0.9670168000000687,1.1961532
319,85,21747,-1,-0.46,0.9667108000000694,1.1946261
320,81,21828,-1,-0.46,0.96641920000007,1.2092104
321,47,21875,-1,-0.46,0.9662500000000703,1.2124863
322,69,21944,0,-0.47,0.9660016000000708,1.2128586
323,45,21989,-1,-0.48,0.9658396000000712,1.1889764
324,28,22017,0,-0.47,0.9657388000000714,1.2195216
325,55,22072,-1,-0.47,0.9655408000000718,1.187192
326,39,22111,-1,-0.47,0.9654004000000721,1.2332022
327,45,22156,0,-0.49,0.9652384000000724,1.2186668
328,78,22234,3,-0.46,0.964957600000073,1.1887904
329,74,22308,0,-0.46,0.9646912000000736,1.2076229
330,101,22409,0,-0.45,0.9643276000000743,1.1679282
331,34,22443,-1,-0.47,0.9642052000000746,1.2283573
332,61,22504,-1,-0.48,0.963985600000075,1.2368336
333,37,22541,0,-0.49,0.9638524000000753,1.2180201
334,38,22579,0,-0.48,0.9637156000000756,1.209872
335,49,22628,-1,-0.48,0.963539200000076,1.221196
336,68,22696,-1,-0.48,0.9632944000000765,1.2198145
337,51,22747,-1,-0.48,0.9631108000000769,1.203306
338,101,22848,-1,-0.49,0.9627472000000776,1.2138827
339,92,22940,-1,-0.49,0.9624160000000783,1.2138803
340,101,23041,0,-0.48,0.9620524000000791,1.206181
341,37,23078,-1,-0.48,0.9619192000000794,1.2084975
342,54,23132,-1,-0.49,0.9617248000000798,1.2158035
343,101,23233,0,-0.48,0.9613612000000805,1.2083066
344,49,23282,0,-0.47,0.9611848000000809,1.1854331
345,71,23353,-1,-0.47,0.9609292000000814,1.1782472
346,36,23389,0,-0.46,0.9607996000000817,1.194486
347,63,23452,1,-0.45,0.9605728000000822,1.2149239
348,34,23486,-1,-0.46,0.9604504000000824,1.2051486
349,57,23543,-1,-0.47,0.9602452000000828,1.188204
350,78,23621,-1,-0.48,0.9599644000000834,1.1947527
351,60,23681,-1,-0.49,0.9597484000000839,1.1972227
352,48,23729,-1,-0.49,0.9595756000000842,1.2039535
353,82,23811,-1,-0.49,0.9592804000000849,1.1953042
354,39,23850,-1,-0.49,0.9591400000000851,1.2112565
355,101,23951,0,-0.49,0.9587764000000859,1.209834
356,47,23998,0,-0.48,0.9586072000000863,1.2172239
357,61,24059,-1,-0.48,0.9583876000000867,1.197824
358,50,24109,-1,-0.49,0.9582076000000871,1.2194011
359,36,24145,0,-0.48,0.9580780000000874,1.2146748
360,33,24178,-1,-0.48,0.9579592000000876,1.2264702
361,43,24221,-1,-0.48,0.9578044000000879,1.2321513
362,65,24286,2,-0.46,0.9575704000000884,1.2255929
363,37,24323,-1,-0.47,0.9574372000000887,1.2088348
364,44,24367,0,-0.46,0.957278800000089,1.1922202
365,50,24417,-1,-0.48,0.9570988000000894,1.2224579
366,131,24548,5,-0.43,0.9566272000000904,1.2213199
367,101,24649,0,-0.43,0.9562636000000911,1.2172245
368,59,24708,1,-0.42,0.9560512000000916,1.2008201
369,51,24759,-1,-0.42,0.955867600000092,1.1995085
370,73,24832,0,-0.42,0.9556048000000925,1.202985
371,57,24889,2,-0.39,0.9553996000000929,1.1950192
372,52,24941,-1,-0.4,0.9552124000000933,1.2255275
373,35,24976,-1,-0.4,0.9550864000000936,1.2088951
374,52,25028,-1,-0.41,0.954899200000094,1.2188888
375,32,25060,-1,-0.41,0.9547840000000942,1.2168359
376,57,25117,-1,-0.41,0.9545788000000947,1.1998165
377,63,25180,1,-0.39,0.9543520000000951,1.2348614
378,101,25281,0,-0.38,0.9539884000000959,1.2130349
379,28,25309,-1,-0.39,0.9538876000000961,1.2345109
380,35,25344,-1,-0.4,0.9537616000000964,1.2171466
381,101,25445,0,-0.39,0.9533980000000971,1.2215223
382,38,25483,-1,-0.39,0.9532612000000974,1.1895931
383,65,25548,1,-0.38,0.9530272000000979,1.1973414
384,34,25582,-1,-0.38,0.9529048000000981,1.1962485
385,29,25611,-1,-0.38,0.9528004000000984,1.2077498
386,101,25712,0,-0.38,0.9524368000000991,1.201118
387,85,25797,-1,-0.39,0.9521308000000998,1.2111348
388,26,25823,0,-0.38,0.9520372000001,1.218757
389,53,25876,0,-0.37,0.9518464000001003,1.2116289
390,28,25904,-1,-0.4,0.9517456000001006,1.2187538
391,62,25966,1,-0.44,0.951522400000101,1.2130198
392,40,26006,0,-0.43,0.9513784000001013,1.210593
393,62,26068,-1,-0.43,0.9511552000001018,1.21097
394,53,26121,-1,-0.43,0.9509644000001022,1.2010244
395,101,26222,0,-0.42,0.9506008000001029,1.2049593
396,38,26260,-1,-0.43,0.9504640000001032,1.1842175
397,64,26324,-1,-0.44,0.9502336000001037,1.2250988
398,101,26425,0,-0.43,0.9498700000001045,1.1982529
399,101,26526,0,-0.42,0.9495064000001052,1.2129989
400,68,26594,-1,-0.42,0.9492616000001057,1.204484
401,115,26709,2,-0.39,0.9488476000001066,1.2032018
402,101,26810,0,-0.38,0.9484840000001074,1.1842101
403,50,26860,-1,-0.38,0.9483040000001077,1.2036465
404,78,26938,-1,-0.38,0.9480232000001083,1.2443733
405,98,27036,4,-0.33,0.947670400000109,1.2408074
406,38,27074,-1,-0.34,0.9475336000001093,1.2182415
407,36,27110,-1,-0.35,0.9474040000001096,1.2155724
408,76,27186,-1,-0.36,0.9471304000001102,1.2015476
409,55,27241,-1,-0.36,0.9469324000001106,1.1974139
410,24,27265,-1,-0.36,0.9468460000001108,1.1989609
411,81,27346,-1,-0.37,0.9465544000001114,1.220622
412,68,27414,-1,-0.37,0.9463096000001119,1.2156978
413,95,27509,1,-0.35,0.9459676000001126,1.2041354
414,26,27535,-1,-0.35,0.9458740000001128,1.2241458
415,47,27582,1,-0.33,0.9457048000001131,1.205413
416,31,27613,0,-0.32,0.9455932000001134,1.1927438
417,32,27645,-1,-0.34,0.9454780000001136,1.2285976
418,35,27680,-1,-0.34,0.9453520000001139,1.210495
419,36,27716,-1,-0.34,0.9452224000001141,1.204802
420,56,27772,0,-0.33,0.9450208000001146,1.2232506
421,45,27817,-1,-0.33,0.9448588000001149,1.2076865
422,35,27852,0,-0.33,0.9447328000001152,1.2025015
423,127,27979,1,-0.31,0.9442756000001161,1.2222521
424,45,28024,-1,-0.32,0.9441136000001165,1.2302833
425,54,28078,-1,-0.32,0.9439192000001169,1.2139181
426,25,28103,-1,-0.32,0.943829200000117,1.2266439
427,177,28280,1,-0.31,0.9431920000001184,1.1933384
428,83,28363,1,-0.33,0.942893200000119,1.228153
429,54,28417,-1,-0.34,0.9426988000001194,1.2120351
430,33,28450,-1,-0.35,0.9425800000001197,1.2098312
431,92,28542,-1,-0.35,0.9422488000001203,1.2276547
432,79,28621,-1,-0.35,0.9419644000001209,1.2222469
