episode,global_steps,score,avg_score,epsilon
1,53,-1,-1.0,1.0
2,161,8,3.5,1.0
3,255,2,3.0,1.0
4,344,0,2.25,1.0
5,394,-1,1.6,1.0
6,531,1,1.5,0.9900473578023296
7,575,-1,1.1428571428571428,0.9684988314739038
8,654,2,1.25,0.9309796306359722
9,714,-1,1.0,0.9034582461535571
10,762,1,1.0,0.882028081133572
11,795,-1,0.8181818181818182,0.8675904462076884
12,845,1,0.8333333333333334,0.846164271460707
13,875,-1,0.6923076923076923,0.833563399770512
14,980,2,0.7857142857142857,0.7909198493934543
15,1019,2,0.8666666666666667,0.7756425307570022
16,1079,-1,0.75,0.7527131823508562
17,1163,4,0.9411764705882353,0.72174634309131
18,1249,7,1.2777777777777777,0.6913616081308254
19,1311,2,1.3157894736842106,0.6702529950324074
20,1342,-1,1.2,0.6599416152362202
21,1482,10,1.619047619047619,0.6153147118525827
22,1550,2,1.6363636363636365,0.5947406098585333
23,1652,3,1.6956521739130435,0.5651621077823331
24,1730,-1,1.5833333333333333,0.5435397566366702
25,1785,-1,1.48,0.5287924315203409
26,1886,0,1.4230769230769231,0.5027451324062566
27,1946,0,1.3703703703703705,0.4878831078997013
28,2018,-1,1.2857142857142858,0.47062746731113697
29,2119,0,1.2413793103448276,0.4474452625713446
30,2234,0,1.2,0.42243679254580524
31,2322,-1,1.1290322580645162,0.40424811217242423
32,2348,-1,1.0625,0.39902560086955063
33,2436,-1,1.0,0.3818449261672503
34,2504,1,1.0,0.36907728660728883
35,2530,-1,0.9428571428571428,0.36430914980491247
36,2560,0,0.9166666666666666,0.35888394691336134
37,2601,-1,0.8648648648648649,0.3515999212610278
38,2684,-1,0.8157894736842105,0.33730365005740126
39,2739,-1,0.7692307692307693,0.3281519246691772
40,2796,0,0.75,0.3189293352770884
41,2871,0,0.7317073170731707,0.3071880745242752
42,2986,1,0.7380952380952381,0.2900188151833779
43,3087,0,0.7209302325581395,0.2757330456119896
44,3257,2,0.75,0.2532588060086049
45,3323,-1,0.7111111111111111,0.24503563814234464
46,3343,-1,0.6739130434782609,0.2425968861102361
47,3360,-1,0.6382978723404256,0.24054304028773116
48,3394,-1,0.6041666666666666,0.2364873655331738
49,3495,0,0.5918367346938775,0.22483845231209365
50,3577,-1,0.56,0.21580428331867138
51,3664,-1,0.5294117647058824,0.20661579845326983
52,3692,-1,0.5,0.20374261812247907
53,3730,-1,0.4716981132075472,0.1999071022334634
54,3761,-1,0.4444444444444444,0.19683166941874727
55,3796,-1,0.41818181818181815,0.19341623352397586
